"","SRR3396381","SRR3396382","SRR3396384","SRR3396385","SRR3396386","SRR3396387"
"YIL042C",398.113351341828,388.48592611869,463.686612730476,337.139895763944,342.612441244164,358.3513348983
"YIL115C",1042.18753756438,951.538255402402,923.572515520538,965.446065142203,1167.25142881323,1030.26008783261
"YIL035C",1274.42032584712,1324.88836621777,1392.96019316163,1199.40072008142,1292.08628107507,1302.91871221176
"YIL176C",0,0,0,0,0,0
"YIL006W",240.240815464896,211.901414246558,271.750760739582,243.149379369147,192.263896549252,233.707392324979
"YIL048W",713.858423095692,672.030199467656,638.519269989508,689.604332244431,805.503718244259,851.084420383463
"YIL066C",370.65725814584,330.969827966053,326.861054875581,129.74777806673,127.56846216538,165.542736230193
"YIR029W",169.312574708594,167.503022690137,193.836206961101,137.920866448886,122.101242358293,132.434188984154
"YIR018C-A",100.672341718623,104.941652769724,71.2633113827575,68.4496152005583,71.0738574921405,67.1908752934313
"YIL094C",6804.5350970724,7239.96498675741,8656.11688929228,3520.55782061379,3445.25968176645,3432.57732477312
"YIL103W",382.097296977502,340.051317148048,357.266734398891,477.104034308369,475.648123216632,432.35867580121
"YIL155C",1621.05350244647,1479.27368231169,1470.87474694012,996.095146575289,974.987532263978,1194.82904326145
"YIL152W",261.976889245054,277.489947227636,262.248985888548,248.257559607995,281.561820065018,264.868377968309
"YIL046W-A",20.5920698969911,17.1539240104357,21.854082157379,21.4543570031601,17.3128627224445,12.659150417603
"YIL002C",694.410357081867,704.319938781418,695.529919095714,723.318321820825,761.765959787557,766.365490665659
"YIR030W-A",6.86402329899704,0,1.90035497020687,6.12981628661716,3.64481320472515,1.94756160270815
"YIL047C-A",16.0160543643264,10.0905435355504,14.2526622765515,19.411084907621,15.4904561200819,12.659150417603
"YIL156W",335.193137767689,406.648904482681,363.917976794615,396.394786534577,402.751859122129,388.538539740277
"YIR012W",783.642659968829,715.419536670523,967.280679835296,1232.09307361005,1314.8663636046,1092.58205911927
"YIL112W",1217.22013168881,1197.74751766983,1215.27700344729,1081.91257458793,1087.97674161046,1163.66805761812
"YIL025C",2.28800776633235,2.01810870711008,3.80070994041374,7.15145233438669,4.55601650590644,1.94756160270815
"YIL175W",0,0,0,0,0,0
"YIL100W",5.72001941583087,3.02716306066512,8.55159736593091,5.10818023884764,7.2896264094503,6.81646560947854
"YIR026C",275.704935843048,174.566403165022,248.9465010971,336.118259716174,391.817419507954,260.973254762893
"YIR025W",128.128434914611,156.403424801031,136.825557854894,159.375223452046,174.039830525626,142.171996997695
"YIR042C",74.3602524058013,97.8782722948388,84.5657961742056,99.0986966336441,106.610786238211,109.063449751657
"YIL075C",3624.20430187044,3966.59266382486,3705.69219190339,3693.21431268684,3627.50034200271,3874.67380858787
"YIL068W-A",4.57601553266469,5.0452717677752,3.80070994041374,3.06490814330858,3.64481320472515,8.76402721218669
"YIL063C",747.034535707511,715.419536670523,681.277256819162,890.866633655028,883.867202145849,883.219186828148
"YIL018W",18787.9757732381,17136.7700864252,18797.3611878012,19950.5087408433,20794.5705362582,19608.0502160657
"YIL027C",446.161514434808,573.142872819262,507.394777045234,914.364262753727,676.112849476516,514.156263114953
"YIL085C",817.962776463814,768.89941740894,779.145537784816,801.984297499079,834.66222388206,795.578914706281
"snR68",43.4721475603146,30.2716306066512,29.4555020382065,45.9736221496287,50.1161815649708,48.6890400677039
"YIL008W",327.185110585526,290.607653823851,294.555020382065,512.861295980303,458.335260494188,343.744622877989
"YIL030W-A",6.86402329899704,9.08148918199536,7.60141988082747,8.17308838215622,6.37842310826902,4.86890400677039
"YIL076W",1487.20504811603,1651.8219767696,1617.20207964604,1389.42502496656,1412.365116831,1373.03092990925
"YIR036W-A",1.14400388316617,2.01810870711008,0.950177485103434,0,0,0.973780801354077
"YIL029C",281.424955258879,350.141860683599,354.416201943581,284.014821279929,219.59999558469,213.257995496543
"YIR023W",560.561902751425,573.142872819262,581.508620883302,541.467105317849,533.965134492235,581.347138408384
"tT(AGU)I1",10.2960349484956,11.0995978891054,7.60141988082747,14.3029046687734,4.55601650590644,5.84268480812446
"YIL053W",6707.29476700327,6329.79795985076,6140.99708622349,14290.6450362001,13844.8229581485,11663.9464386191
"YIL101C",1777.78203444023,1598.34209603118,1461.37297208908,821.3953824067,922.137740795463,1198.72416646687
"YIL120W",215.072730035241,201.810870711008,211.889579178066,268.690280563386,218.688792283509,228.838488318208
"YIL174W",0,0,0,0,0,0
"YIL032C",9.15203106532939,9.08148918199536,10.4519523361378,6.12981628661716,9.11203301181288,1.94756160270815
"YIL142C-A",1.14400388316617,0,0,0,0,0
"YIL164C",414.129405706155,534.798807384171,514.996196926061,230.889746795913,243.291281415404,264.868377968309
"YIL096C",98.3843339522909,56.5070437990822,81.7152637188953,222.716658413757,208.665555970515,157.75248981936
"YIL160C",175.032594124424,148.330989972591,151.078220131446,118.509781541265,118.456429153567,106.142107347594
"YIL134C-A",9.15203106532939,10.0905435355504,3.80070994041374,6.12981628661716,9.11203301181288,2.92134240406223
"YIL062C",1370.51665203308,1495.41855196857,1372.05628848936,1184.07617936488,1209.16678066757,1274.67906897249
